Date,Close,NEWS_SENTIMENT_DAILY_AVG,NEWS_POS_COUNT,NEWS_NEG_COUNT,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_POS_COUNT,TWITTER_NEG_COUNT
2019-01-09 14:30:00,0.0669,1659.51,4,5,0.0087,13.0,10.0
2019-01-09 15:00:00,0.0761,1657.96,10,3,-0.0083,8.0,12.0
2019-01-09 15:30:00,0.0748,1651.87,7,1,-0.0057,10.0,9.0
2019-01-09 16:00:00,0.0697,1657.94,3,1,0.0042,9.0,6.0
2019-01-09 16:30:00,0.078,1661.36,13,2,0.0,5.0,4.0
2019-01-09 17:00:00,0.0728,1660.36,5,4,-0.0159,5.0,9.0
2019-01-09 17:30:00,0.0823,1660.99,5,2,0.0029,4.0,2.0
2019-01-09 18:00:00,0.0752,1660.0,3,2,0.0,3.0,0.0
2019-01-09 19:00:00,0.0682,1659.1,1,0,-0.0081,4.0,4.0
2019-01-09 20:30:00,0.0623,1659.42,0,0,-0.0023,2.0,4.0
2019-01-10 14:30:00,0.2203,1627.38,3,0,-0.0164,5.0,7.0
2019-01-10 15:00:00,0.2149,1643.86,1,1,-0.0084,3.0,7.0
2019-01-10 15:30:00,0.171,1653.82,2,1,-0.0147,6.0,8.0
2019-01-10 16:00:00,0.1322,1651.06,2,2,0.031,10.0,4.0
2019-01-10 16:30:00,0.0971,1654.46,1,2,0.0129,6.0,4.0
2019-01-10 17:00:00,0.1085,1654.38,3,3,-0.0089,3.0,4.0
2019-01-10 17:30:00,0.1012,1659.76,2,3,0.0098,5.0,2.0
2019-01-10 18:00:00,0.0625,1652.02,2,0,-0.0243,3.0,8.0
2019-01-10 18:30:00,0.0651,1647.0,4,1,0.0026,5.0,3.0
2019-01-10 19:00:00,0.0701,1653.45,3,3,-0.0119,3.0,8.0
2019-01-10 19:30:00,0.0805,1654.25,2,4,0.0,4.0,5.0
2019-01-10 20:00:00,0.0717,1655.19,3,0,-0.0024,3.0,5.0
2019-01-10 20:30:00,0.0505,1656.22,0,2,0.0091,9.0,5.0
2019-01-11 14:30:00,-0.1113,1647.14,0,5,-0.0171,1.0,5.0
2019-01-11 15:00:00,-0.099,1645.0,3,2,0.039,9.0,0.0
2019-01-11 15:30:00,-0.0859,1647.77,1,0,-0.0378,4.0,5.0
2019-01-11 16:00:00,-0.0854,1644.4,0,0,-0.0138,3.0,5.0
2019-01-11 16:30:00,-0.0862,1648.0,0,1,0.0034,3.0,2.0
2019-01-11 17:00:00,-0.0928,1645.96,2,2,-0.0024,0.0,5.0
2019-01-11 17:30:00,-0.0847,1645.29,2,0,0.0137,6.0,0.0
2019-01-11 18:00:00,-0.0737,1640.58,2,0,-0.0104,1.0,6.0
2019-01-11 18:30:00,-0.0867,1637.95,0,1,-0.0058,4.0,5.0
2019-01-11 19:00:00,-0.08,1641.21,0,0,-0.0036,2.0,3.0
2019-01-11 19:30:00,-0.0942,1640.2,1,0,-0.0069,3.0,4.0
2019-01-11 20:00:00,-0.1075,1641.2,0,0,0.0037,4.0,2.0
2019-01-11 20:30:00,-0.10099999999999999,1640.56,1,1,0.006999999999999999,4.0,0.0
2019-01-11 21:00:00,-0.1106,0.0,0,0,,,
2019-01-14 14:30:00,0.0843,1617.84,0,1,0.0166,5.0,1.0
2019-01-14 15:00:00,0.1034,1629.28,2,1,-0.027999999999999997,8.0,8.0
2019-01-14 15:30:00,0.0926,1641.07,1,0,0.0371,8.0,6.0
2019-01-14 16:00:00,0.0991,1639.65,0,0,0.0239,9.0,5.0
2019-01-14 16:30:00,0.0827,1643.0,2,2,-0.0098,1.0,5.0
2019-01-14 17:00:00,0.0877,1636.46,2,1,0.0172,6.0,3.0
2019-01-14 17:30:00,0.0945,1633.03,3,1,0.0079,3.0,2.0
2019-01-14 18:00:00,0.1241,1633.6,1,1,0.0092,3.0,1.0
2019-01-14 18:30:00,0.09699999999999999,1634.0,0,0,0.006999999999999999,2.0,1.0
2019-01-14 19:00:00,0.0929,1626.61,0,0,-0.0346,3.0,8.0
2019-01-14 19:30:00,0.1062,1628.75,1,0,-0.0223,2.0,6.0
2019-01-14 20:00:00,0.1204,1624.75,1,0,-0.0052,2.0,3.0
2019-01-14 20:30:00,0.1015,1617.21,0,2,0.0336,5.0,3.0
2019-01-14 21:00:00,0.111,0.0,2,0,,,
2019-01-15 14:30:00,0.11199999999999999,1640.89,1,0,0.0241,7.0,6.0
2019-01-15 15:00:00,0.0985,1642.34,1,0,0.045,8.0,2.0
2019-01-15 15:30:00,0.07400000000000001,1645.28,0,0,-0.001,1.0,2.0
2019-01-15 16:00:00,0.0606,1648.89,0,0,0.0045,3.0,2.0
2019-01-15 16:30:00,0.0873,1664.0,3,0,0.024,9.0,2.0
2019-01-15 17:00:00,0.0869,1662.72,1,1,0.0195,8.0,0.0
2019-01-15 17:30:00,0.1096,1664.2,1,1,0.0103,7.0,0.0
2019-01-15 18:00:00,0.1394,1665.7,2,1,0.0097,3.0,2.0
2019-01-15 18:30:00,0.1825,1664.88,4,1,0.0227,7.0,4.0
2019-01-15 19:00:00,0.1776,1651.37,1,0,0.0152,5.0,5.0
2019-01-15 19:30:00,0.1687,1663.3,0,0,-0.0237,2.0,8.0
2019-01-15 20:00:00,0.1604,1667.92,1,0,0.0165,5.0,3.0
2019-01-15 20:30:00,0.1432,1674.56,1,0,0.0167,4.0,2.0
2019-01-15 21:00:00,0.1291,0.0,1,0,,,
2019-01-16 14:30:00,0.2336,1698.33,1,0,0.03,9.0,5.0
2019-01-16 15:00:00,0.1778,1692.85,0,0,0.0583,10.0,6.0
2019-01-16 15:30:00,0.2225,1685.89,2,0,-0.0156,5.0,7.0
2019-01-16 16:00:00,0.21100000000000002,1694.0,0,0,0.0523,11.0,8.0
2019-01-16 16:30:00,0.1652,1688.69,1,0,0.0105,6.0,4.0
2019-01-16 17:00:00,0.1752,1689.0,0,0,0.0262,8.0,3.0
2019-01-16 17:30:00,0.2176,1695.0,1,0,-0.0169,3.0,7.0
2019-01-16 18:00:00,0.3716,1689.95,4,0,0.0017,2.0,1.0
2019-01-16 18:30:00,0.3322,1689.7,1,3,0.0058,3.0,0.0
2019-01-16 19:00:00,0.28300000000000003,1692.57,0,0,0.0051,4.0,3.0
2019-01-16 19:30:00,0.2699,1690.87,1,0,0.0297,6.0,3.0
2019-01-16 20:00:00,0.248,1689.63,1,1,0.0979,8.0,1.0
2019-01-16 20:30:00,0.2462,1683.78,1,0,0.0111,4.0,3.0
2019-01-17 14:30:00,-0.231,1687.11,4,2,0.0317,9.0,3.0
2019-01-17 15:00:00,-0.1796,1686.32,2,0,0.0137,7.0,4.0
2019-01-17 15:30:00,-0.203,1686.36,0,1,0.0011,1.0,1.0
2019-01-17 16:00:00,-0.2298,1687.25,0,1,0.0,4.0,3.0
2019-01-17 16:30:00,-0.2403,1685.88,0,2,0.0142,6.0,4.0
2019-01-17 17:00:00,-0.2117,1686.0,2,0,-0.0235,2.0,8.0
2019-01-17 17:30:00,-0.2017,1686.98,0,0,-0.0082,1.0,3.0
2019-01-17 18:00:00,-0.1152,1688.95,1,0,0.013999999999999999,4.0,3.0
2019-01-17 18:30:00,-0.1088,1688.49,2,0,0.0057,4.0,3.0
2019-01-17 19:00:00,-0.1089,1687.0,1,0,-0.0046,1.0,4.0
2019-01-17 19:30:00,0.1463,1691.33,4,0,-0.0151,6.0,7.0
2019-01-17 20:00:00,0.154,1695.0,0,1,-0.0309,4.0,7.0
2019-01-17 20:30:00,0.151,1693.22,1,1,0.0245,7.0,2.0
2019-01-17 21:00:00,0.1557,0.0,2,0,,,
2019-01-18 14:30:00,0.10300000000000001,1704.06,0,1,0.0488,10.0,3.0
2019-01-18 15:00:00,0.1119,1703.0,1,0,-0.02,6.0,7.0
2019-01-18 15:30:00,0.0894,1707.0,0,0,0.0108,5.0,4.0
2019-01-18 16:30:00,0.0741,1713.24,0,0,-0.0279,4.0,7.0
2019-01-18 17:00:00,0.0834,1713.35,1,0,0.0231,6.0,5.0
2019-01-18 17:30:00,0.0868,1713.87,0,1,-0.0521,3.0,6.0
2019-01-18 18:00:00,0.0816,1706.0,1,0,0.0171,4.0,3.0
2019-01-18 18:30:00,0.078,1704.0,1,0,-0.0196,4.0,5.0
2019-01-18 19:00:00,0.0711,1698.35,0,0,0.0329,7.0,2.0
2019-01-18 19:30:00,0.0767,1698.58,1,0,-0.0351,6.0,8.0
2019-01-18 20:00:00,0.1091,1696.14,2,0,-0.013999999999999999,1.0,4.0
2019-01-18 20:30:00,0.1059,1696.2,1,0,-0.0383,4.0,5.0
2019-01-18 21:00:00,0.12300000000000001,0.0,0,0,,,
2019-01-22 14:30:00,0.1151,1668.0,0,1,-0.0212,2.0,3.0
2019-01-22 15:00:00,0.1409,1663.96,2,1,-0.0415,7.0,7.0
2019-01-22 15:30:00,0.2092,1661.12,3,0,0.0143,3.0,0.0
2019-01-22 16:00:00,0.2513,1660.91,3,0,0.0091,4.0,2.0
2019-01-22 16:30:00,0.2649,1646.99,1,1,-0.0115,3.0,4.0
2019-01-22 17:00:00,0.2292,1653.49,1,0,-0.0221,1.0,6.0
2019-01-22 17:30:00,0.1848,1655.24,4,1,-0.0123,1.0,3.0
2019-01-22 18:00:00,0.2261,1635.5,5,1,-0.0299,5.0,7.0
2019-01-22 18:30:00,0.2428,1637.51,4,0,-0.0054,2.0,3.0
2019-01-22 19:00:00,0.2558,1627.51,1,0,0.0365,6.0,4.0
2019-01-22 19:30:00,0.2971,1620.76,3,0,-0.0448,5.0,9.0
2019-01-22 20:00:00,0.2837,1626.35,2,0,0.0183,6.0,3.0
2019-01-22 20:30:00,0.3122,1632.17,3,0,0.0229,9.0,6.0
2019-01-22 21:00:00,0.3424,0.0,3,0,,,
