Date,Close,NEWS_SENTIMENT_DAILY_AVG,NEWS_POS_COUNT,NEWS_NEG_COUNT,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_POS_COUNT,TWITTER_NEG_COUNT,NEWS_HEAT_READ_DAVG,NEWS_PUBLICATION_COUNT,TWITTER_PUBLICATION_COUNT
01/08/2019,1855.32,0.1253,77,16,-0.022,85,168,1,1229,2010
31/07/2019,1866.78,0.1156,67,34,-0.0204,74,174,0,1299,1860
30/07/2019,1898.53,0.2635,83,15,-0.0141,88,150,1,1063,2019
29/07/2019,1912.45,0.2395,31,2,-0.0099,32,66,1,542,887
26/07/2019,1943.05,0.7907,292,29,0.0391,429,409,3,2267,4436
25/07/2019,1973.82,0.1955,75,12,-0.0053,74,103,2,1338,2015
24/07/2019,2000.81,0.403,94,19,-0.0071,111,118,2,1463,2276
23/07/2019,1994.49,0.1597,63,17,0.0107,105,66,2,1141,1574
22/07/2019,1985.63,0.1521,33,5,0.0163,63,31,0,650,785
19/07/2019,1964.52,0.5814,132,10,0.0093,124,91,1,1387,2118
18/07/2019,1977.9,0.2687,114,24,-0.0108,115,150,1,1872,2340
17/07/2019,1992.03,0.0528,104,62,-0.0062,124,163,2,2330,2919
16/07/2019,2009.9,0.0398,146,59,-0.0075,122,223,1,2420,3389
15/07/2019,2020.99,0.0411,95,39,-0.006,57,87,2,1764,1698
12/07/2019,2011,0.1706,150,16,0.0104,169,87,0,1530,2539
11/07/2019,2001.07,0.0936,97,33,0.0086,149,69,2,1638,2481
10/07/2019,2017.41,0.036,60,44,0.0077,138,109,1,1517,2607
09/07/2019,1988.3,0.0922,64,33,-0.0097,119,124,1,1175,1825
08/07/2019,1952.32,0.0683,22,4,-0.0064,25,42,1,607,639
05/07/2019,1942.91,0.0732,18,15,-0.0035,26,40,0,748,946
04/07/2019,,0.0801,49,32,-0.0069,49,78,0,931,1331
03/07/2019,1939,0.1831,75,17,-0.0069,76,83,0,984,1556
02/07/2019,1934.31,0.0785,36,22,-0.0051,48,59,0,924,1274
01/07/2019,1922.19,0.0384,15,8,-0.0025,23,26,0,486,739
28/06/2019,1893.63,0.2559,52,3,0.002,47,45,0,853,1477
27/06/2019,1904.28,0.1627,62,10,-0.0037,53,70,0,957,1650
26/06/2019,1897.83,0.1137,60,15,-0.0125,48,116,0,1087,1672
25/06/2019,1878.27,0.0667,65,23,-0.0069,49,82,0,1204,1477
